ESTABLECIMIENTO,CALLE No.,COLONIA,"CÓDIGO
POSTAL",LOCALIDAD,ENTIDAD,No. LICENCIA,"FECHA
EXPEDICIÓN",LÍNEAS AUTORIZADAS,"ESTATUS DE
LA LICENCIA",ESTATUS DEL ESTABLECIMIENTO,OBSERVACIONES,LINEAS CERTIFICADAS,"NO. DE OFICIO DE
CERTIFICACION",FECHA DE EMISION,"FECHA DE
VENCIMIENTO","ESTATUS DE LA
CERTIFICACIÓN"
"Cryoinfra, S.A. de C.V.",Km. 108 Autopista México- Puebla,N/I,72620,San Miguel Xoxtla,Puebla,21136020001,30-jun.-14,"GASES MEDICINALES: Oxígeno Medicinal O2, Nitrógeno N2, Dióxido de Carbono CO2.",Vigente,Vigente,Ninguna,"Gases Medicinales: Oxígeno
medicinal, Dióxido de carbono
medicinal.",CAS/SELS/1311/2021,27-ene.-21,27-jul.-23,Vigente
"Cryoinfra, S.A. de C.V.",Carretera Tampico Mante Km. 14.5,Laguna de la Puerta,89603,Altamira,Tamaulipas,28003020001,23-ago.-16,Gases - Oxígeno medicinal,Vigente,Vigente,Ninguna,Gases Medicinales: Oxígeno medicinal.,233300CI110027,17-mar.-23,14-ago.-25,Vigente
"Cryoinfra, S.A. de C.V.","Av. Sor Juana Inés de la Cruz
No. 19724","Parque Industrial la
Frontera",22510,Tijuana,Baja California,02004020007,19-dic.-14,GASES MEDICINALES: Oxígeno Medicinal.,Vigente,Vigente,Ninguna,"Gases Medicinales: Oxígeno
medicinal.","213300129X0257,
213300IT040773",28-mar.-22,28-sep.-24,Vigente
"Cryoinfra, S.A. de C.V.","Carretera México-Toluca Km
57.5 S/N","Zona Industrial El
Coecillo",50200,Toluca,México,15106020023,12-mar.-20,Gases Medicinales: Oxígeno,Vigente,Vigente,Ninguna,Oxígeno,223300CI110050,18-abr.-22,16-ago.-23,Vigente
"Cryoinfra, S.A. de C.V.",Carr. Panamericana Km. 64.8,Centro Villagrán,38261,Villagrán,Guanajuato,11044020001,16-feb.-15,GASES MEDICINALES: Oxígeno Medicinal criogénico.,Vigente,Vigente,Ninguna,Gases Medicinales: Oxígeno.,223300CI110303,30-nov.-22,03-abr.-25,Vigente
"Cryoinfra, S.A. de C.V.","Antiguo Camino al Chapo Km. 2.2, S/N",Lázaro Cardenas,96360,"Nanchital de
Lázaro Cárdenas del
Río",Veracruz,30206020001,31-ago.-16,Gases - Oxígeno medicinal,Vigente,Vigente,Ninguna,Gases Medicinales: Oxígeno,213300CI110183,16-ago.-21,24-ago.-23,Vigente
"Cryoinfra, S.A. de C.V.",Eje 118 No. 350,Zona Industrial,78395,San Luis Potosi,San Luis Potosi,213300501B0008,09-ago.-21,Gases Medicinales: Oxígeno,"Vigente
hasta que se levante la Emergencia",Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Cryoinfra, S.A. de C.V.","Antiguo Camino a Roma Km
7.5",Valle del Mezquital,66440,"San Nicolás de
los Garza",Nuevo León,19046020001,10-sep.-14,GASES MEDICINALES: Oxígeno Medicinal O2.,Vigente,Vigente,Ninguna,Gases: Oxígeno medicinal.,"203300129X0313,
213300IT040065",19-mar.-21,19-sep.-23,Vigente
"Dankel Medical, S.A.P.I. de C.V.","Av. San Martin Obispo No. 4, Lote F2",Carret. 57 Queretaro San Luis Potosi Km. 57.8,37980,San José Iturbide,Guanajuato,11032020002,14-dic.-20,"SÓLIDOS ORALES HORMONALES: Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura, Grageas; LÍQUIDOS ORALES HORMONALES: Suspensión,
Jarabe, Solución, Emulsión; SEMISÓLIDOS HORMONALES: Supositorio, Crema, Ungüento, Gel, Óvulo; ESTÉRILES HORMONALES: Solución inyectable en frasco ámpula, Solución inyectable en ampolleta, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectable en frasco ámpula, Solución oftálmica, Suspensión inyectable en Jeringa prellenada, Solución inyectable en jeringa prellenada, Suspensión oftálmica, Solución ótica, Suspensión ótica, Solución nasal, Suspensión nasal.",Vigente,Vigente,Ninguna,"Sólidos Orales Hormonales, Líquidos Orales Hormonales, Semisólidos Hormonales y Estériles Hormonales.",223300516A1123,19-oct.-22,25-may.-23,Vigente
"Degort's Chemical, S.A. de C.V.",Alhambra No. 310,Portales,03300,Benito Juárez,D.F.,09003020007,12-ene.-00,"SÓLIDOS ORALES: Tabletas, Grageas,  Comprimidos; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales.",223300516A0922,30-ago.-22,04-feb.-23,Vencido
"DH Farmacéutica, S.A. de C.V.",Canal Nacional No. 2020-A,Valle del Sur,09819,Iztapalapa,D.F.,09009020016,22-abr.-13,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos orales.,213300516A1282,09-nov.-21,11-may.-22,Vencido
"Dinafarma, S.A. de C.V.",Circuito Nemesio Diez Riega No. 10,Parque Industrial el Cerrillo II,52000,Lerma,Edo. de México,15051020006,15-abr.-19,"ESTÉRILES ONCOLÓGICOS: Solución inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,Estériles Oncológicos,233300EL530341,02-mar.-23,02-sep.-25,Vigente
"Distribuidora de Alimentos
Naturales y Nutricionales, S.A. de C.V.",Manuel Ávila Camacho No. 44-A,Ejidos de Santa María,09570,Iztapalapa,D.F.,09009020006,31-may.-00,SEMISÓLIDOS: Ungüento.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"DLP Pharmaceutical México, S.A. de C.V.",Amores 16-A,Santa Inés,02140,Azcapotzalco,D.F.,09002020010,21-may.-18,"SÓLIDOS ORALES: Tabletas o comprimidos, Tabletas recubiertas.",Vigente,Vigente,Ninguna,Sólidos,213300516A0409,18-may.-21,02-oct.-21,Vencido
"Drugmex, S.A.P.I. de C.V.",Avenida de la Corte No. 1,Parque Industrial EL Marqués,76246,El Marques,Querétaro,22011020002,18-feb.-21,ESTERILES BIOTECNOLÓGICOS: Solución inyectable en frasco ámpula.,Vigente,Vigente,Ninguna,Estériles Biotecnológicos.,CAS/SELS/4645/2021,22-mar.-21,Temporal por Emergencia Sanitaria,Vigente
"Dünnpharma, S.A. de C.V.",Islote No. 96,Ampliación Las Águilas,01759,Álvaro Obregón,Ciudad de México,09001020011,04-jun.-19,"SÓLIDOS: Tabletas o comprimidos, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos,223300EL531970,06-dic.-22,06-jun.-25,Vigente
"Eli Lilly y Compañía de México, S.A. de C.V.",Calz. De Tlalpan No. 2024,Campestre Churubusco,04200,Coyoacan,D.F.,09004020004,14-mar.-13,"SÓLIDOS ORALES CEFALOSPORÍNICOS: Tabletas,
Cápsulas de gelatina dura, Polvo para reconstituir; LÍQUIDOS ORALES CEFALOSPORÍNICOS: Suspensión.",Vigente,Suspensión temporal de actividades desde el 31-ene-20 al 31-ene-2021,Con fundamento en el Artículo 202 de la Ley General de Salud,Sólidos orales Cefalosporínicos y Líquidos orales Cefalosporínicos.,123501129X0007,06-dic.-12,24-mar.-15,Vencido
"Emifarma, S.A. de C.V.",Adolfo López Mateos No. 5,Santa Clara,55540,Ecatepec de Morelos,Edo. de México,15033020002,11-oct.-18,"SÓLIDOS: Tabletas o Comprimidos, Polvo.",Vigente,Vigente,Ninguna,"Sólidos: Tabletas o comprimidos, Polvo",223300516A1475,09-ene.-23,25-jul.-23,Vigente
"Emifarma, S.A. de C.V.",Primera de Mayo No. 48,Ejidos de Santa María Tulpetlac,55400,Ecatepec de Morelos,Edo. de México,15033020005,15-sep.-20,"Estériles: Solución inyectable en frasco ámpula, suspensión inyectable en frasco ámpula, emulsión inyectable en frasco ámpula, liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectableen frasco ámpula, solución oftálmica.",Vigente,Vigente,Ninguna,"Esteriles: Solución inyectable en
frasco ámpula, suspensión inyectable en frasco ámpula, emulsión inyectable en frasco ámpula, liofilizado para solución inyectable en frasco ámpula,
Liofilizado para suspensión","203300129X0320,
213300IT040064",18-mar.-21,18-sep.-23,Vigente
"Emifarma, S.A. de C.V.",Av. 5 de Febrero No. 215,Santa Clara,55540,Ecatepec de Morelos,Edo. de México,15033020004,04-mar.-16,"SÓLIDOS - HORMONAS SEXUALES: Óvulo de gelatina blanda, Cápsula de gelatina blanda.",Vigente,Vigente,Ninguna,Sólidos-Hormonas Sexuales (Solo acondicionamiento primario y secundario),COFEPRIS-CAS-SELS-13336 2022,21-sep.-22,21-mar.-25,Vigente
"Específicos Stendhal, S.A. de C.V.",Escorpión lote 10,"Fraccionamiento
Industrial San Isidro",56506,La Paz,México,15070020003,21-abr.-21,SÓLIDOS: Tabletas o comprimidos.,Vigente,Vigente,Ninguna,Sólidos,CAS/12944/2021,16-jul.-21,16-ene.-24,Vigente
"Estilo y Vanidad, S.A. de C.V.",Carr. Querétaro-San Luis Potosí Km. 58,N/I,37980,San José Iturbide,Guanajuato,11032020001,25-sep.-14,"SEMISÓLIDOS: Crema, Ungüento, Gel, Pomada.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Evolution Proces, S.A. de C.V.",Canela No. 47,Granjas México,08400,Iztacalco,D.F.,09008020008,12-jul.-13,"SÓLIDOS ORALES: Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo para reconstituir; LÍQUIDOS ORALES: Jarabe, Solución, Suspensión, Elixir, Emulsión, Gel; SEMISÓLIDOS: Crema, Pomada, Ungüento, Pasta, Jalea, Supositorio.",Vigente,Vigente,Ninguna,Sólidos orales.,"COFEPRIS/CAS/SELS/18543
/2022",24-nov.-22,24-may.-25,Vigente
"Farmabiot, S.A. de C.V.",Calle 2 Lote 11 Mz. VI,Parque Industrial Toluca 2000,50200,Toluca,Edo. de México,15106020010,14-ene.-20,"SÓLIDOS ORALES ONCOLÓGICOS: Tabletas, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura. ESTÉRILES-BIOTECNOLOGICOS: Solución Inyectable en Frasco Ámpula, Liofilizado para Solución Inyectable en Frasco Ámpula, Solución Inyetable en Jeringa prellenada, Solución Inyectable en Cartucho.",Vigente,Vigente,Ninguna,Estériles-Biotecnológicos; Sólidos- Oncológicos.,223300EL532047,31-ene.-23,31-jul.-25,Vigente
"Farmacéutica Hispanoamericana,
S.A. de C.V.",Lago Iseo No. 184,Anáhuac,11320,Miguel Hidalgo,Ciudad de México,09011020016,22-jul.-20,"AEROSOLES: Suspensión en aerosol, Solución en aerosol, Sólidos y Semisólidos.",Vigente,"Suspensión temporal de actividades a partir de 03 de diciembre de 2021 al 28 de
febrero de 2022",Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos y Semisólidos, Aerosoles: Amplación de vigencia","213300EL530943,
213300EL531041
Para Aerosoles of. 213300516A0962",12-ago.-21,12-feb.-24,Vigente
"Farmacéutica Wandel, S.A. de C.V.",Conkal Mz. 391 Lt. 1,Ejidos de Padierna,14200,Tlalpan,Ciudad de México,09014020008,29-feb.-08,"SÓLIDOS ORALES BETALACTÁMICOS: Tabletas,
Comprimidos, Cápsulas de gelatina dura, Polvo para reconstituir.",Vigente,Vigente,Ninguna,Sólidos orales Betalactámicos.,CAS/SELS/3192/2020,02-mar.-20,19-ene.-22,Vencido
"Farmacéuticos Rayere, S.A.",Emiliano Zapata No. 72,Portales,03300,Benito Juárez,D.F.,09003020021,12-abr.-05,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas, Grageas  de liberación prolongada, Grageas con capa entérica; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Crema, Gel, Óvulo; FORMAS FARMACÉUTICAS ESTÉRILES: Solución
inyectable en ampolleta.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Semisólidos, Formas Farmacéuticas Estériles.",213300516A0554,03-jun.-21,25-nov.-21,Vencido
"Fármacos Continentales, S.A. de C.V.",Av. San Ignacio No. 1831,Jardines de San Manuel,72570,Puebla,Puebla,21114020003,13-nov.-20,"SÓLIDOS: Tabletas, o Comprimidos; LÍQUIDOS: Solución, Suspensión, Elixir, Jarabe, Emulsión.",Vigente,Vigente,Ninguna,"Sólidos Orales, Líquidos Orales.",203300516A1047,24-sep.-20,06-abr.-21,Vencido
"Farmadextrum, S.A. de C.V.",Calle Sur 105 número 1205,Aeronáutica Militar,15970,Venustiano Carranza,Ciudad de México,09015020003,15-nov.-17,SEMISÓLIDOS: Crema y Gel; LÍQUIDOS: Solución y Suspensión.,Vigente,Vigente,Ninguna,"Líquidos, Semisólidos.",223300EL531132,09-nov.-22,09-may.-25,Vigente
"Farmoquimia, S.A. de C.V.",Calle 54 Sur No. 9,Civac,62578,Jiutepec,Morelos,17011020012,29-abr.-14,"SÓLIDOS ORALES: Tabletas, Comprimidos.",Vigente,Vigente,Ninguna,Sólidos Orales,173300EL531698,15-nov.-17,17-ago.-19,Vencido
"Ferpharma, S.A. de C.V.",Nápoles No. 34,Juárez,06600,Cuauhtemoc,Ciudad de México,09006020006,07-jun.-19,"SÓLIDOS HOMEOPÁTICOS: Tabletas o comprimidos, Tabletas recubiertas y Globulos; LÍQUIDOS HOMEOPÁTICOS: Jarabe, Linimento, Elixir; SEMISÓLIDOS HOMEOPÁTICOS: Crema, Gel,
Ungüento, Supositorio.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Ferring, S.A. de C.V.","Av. Nemesio Diez Riega, Mz
2,  Lt. 15  No. 15","Parque Industrial el
Cerrillo II",52000,Lerma,Edo. de México,15051020005,15-jul.-04,"LÍQUIDOS ORALES: Solución, Suspensión, Jarabe.",Vigente,Vigente,Ninguna,Líquidos Orales.,213300516A0103,15-feb.-21,12-oct.-21,Vencido
"Fitonat México, S.A. de C.V.",Cda. Huautla de Las Salinas No. 5,Industrial Vallejo,02300,Azcapotzalco,D.F.,09002020007,29-jun.-05,"SÓLIDOS ORALES HERBOLARIOS: Cápsulas de
gelatina dura; LÍQUIDOS ORALES HERBOLARIOS: Suspensión; SÓLIDOS ORALES HOMEOPÁTICOS:
Tabletas, Globulos; LÍQUIDOS ORALES HOMEOPÁTICOS: Solución; SEMISÓLIDOS HOMEOPÁTICOS: Pomada.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Fitonat México, S.A. de C.V.",Av. De las Fuentes No. 3,Parque Industrial Bernardo Quintana,76246,El Marques,Querétaro,22011020001,09-jun.-21,"SÓLIDOS HERBOLARIOS: Cápsulas de gelatina dura; LÍQUIDOS HERBOLARIOS: Suspensión; SÓLIDOS
HOMEOPÁTICOS: Tabletas efervecentes, Polvo; LÍQUIDOS  HOMEOPÁTICOS: Solución, Suspensión, Jarabe; SEMISÓLIDOS HOMEOPÁTICOS: Pomada;",Vigente,Vigente,Ninguna,"Sólidos -homeopáticos, Líquidos - homeopáticos, semisólidos–homeopáticos, , sólidos –herbolarios, líquidos –herbolarios.",213300EL530730,01-jun.-21,13-may.-17,Vencido
"Fresenius Kabi México, S.A. de C.V.",Av. Paseo del Norte No. 5300- A,San Juan de Ocotán,45010,Zapopan,Jalisco,14120020010,29-nov.-07,"SÓLIDOS ORALES: Polvo para reconstituir; ESTÉRILES: Parenterales de pequeño volumen solución inyectable en bolsa y/o frasco PVC y/o polipropileno y/o polietileno, Parenterales de gran volumen solución inyectable en bolsa y/o frasco de
PVC, polipropileno y/o polietileno.",Vigente,Vigente,Ninguna,"Sólidos orales, Estériles.",213300EL531575,03-nov.-21,03-may.-24,Vigente
"Fresenius Medical Care de México,
S.A. de C.V.",Paseo del Norte No. 5300,Guadalajara Technology Park,45010,Zapopan,Jalisco,14120020009,23-may.-06,ESTÉRILES: Parenterales de gran volumen en solución inyectable.,Revocada,Suspensión definitiva el 28 de febrero de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,Estériles.,"133300129X0227,
133300EL531439",03-dic.-13,07-may.-16,Vencido
"Galenia Laboratorios, S.A. de C.V.",Sonora No. 100 Interior 8,Flores Magón,62370,Cuernava,Morelos,17007020003,29-may.-20,"LÍQUIDOS: Solución, Suspensión, Jarabe;
SEMISÓLIDOS: Crema",Vigente,Vigente,Ninguna,"Líquidos, Semisólidos.",213300516A0474,06-may.-21,10-nov.-21,Vencido
"Galénica Pharma Internacional,
S.A. de C.V.",Av. de los 50 Metros No. 6,Civac,62578,Jiutepec,Morelos,17011020011,23-nov.-11,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura.",Revocada,Suspensión definitiva el 06 de febrero de 2018,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,Sólidos orales.,153300ER020238,21-dic.-15,28-feb.-18,Vencido
"Gelcaps Exportadora de México,
S.A. de C.V.",Calle 7 No. 6,Fracc. Ind. Alce Blanco,53370,Naucalpan de Juárez,Edo. de México,15057020005,16-jul.-14,"SÓLIDOS ORALES: Cápsulas de gelatina blanda, Perlas; SÓLIDOS NO ORALES: Cápsulas vaginales; SEMISÓLIDOS: Supositorio, Óvulo; SÓLIDOS ORALES HERBOLARIOS: Cápsulas de gelatina blanda, Perlas.",Vigente,Vigente,Ninguna,"Sólidos orales, Sólidos no orales, Semisólidos, Sólidos orales Herbolarios.",213300CT110316,16-feb.-22,16-oct.-23,Vigente
"Gelpharma, S.A. de C.V.",Av. Paseo del Pacífico No. 380,Guadalajara Technology Park,45010,Zapopan,Jalisco,14120020016,07-ago.-18,"SÓLIDOS: Cápsulas de gelatina blanda; SEMISÓLIDOS: Crema, Ungüento, Gel, Jalea, Pomada, Pasta; SÓLIDOS-HERBOLARIOS: Cápsulas de gelatina blanda.",Vigente,Vigente,Ninguna,"Sólidos orales, Sólidos no orales, Semisólidos, Sólidos orales Herbolarios, Sólidos no orales Herbolarios",COFEPRIS-CAS-SELS- 20542-2022,06-dic.-22,06-jun.-25,Vigente
"Gelpharma, S.A. de C.V.",Madero No. 5908,Jocotan,45017,Zapopan,Jalisco,14120020003,13-abr.-09,"SÓLIDOS: Cápsulas de gelatina blanda, Perlas; LÍQUIDOS ORALES: Solución, Suspensión, Emulsión; SEMISÓLIDOS: Supositorio, Óvulo.",Revocada,Suspensión definitiva el 27 de agosto de 2018,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Genbio, S.A. de C.V.",Arturo Montiel No. 395,Zona Industrial Chalco,56600,Chalco,México,15025020002,11-sep.-17,"ESTÉRILES BIOLÓGICOS HEMODERIVADOS:
Liofilizado para solución inyectable en frasco ampula.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Genética Laboratorios, S.A. de C.V.",Olivo No. 208-B,Parque Industrial Tecate,21430,Tecate,Baja California,02003020001,19-sep.-17,"SÓLIDOS: Tabletas o comprimidos, Tabletas
recubiertas, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos.,223300CI110275,26-oct.-22,29-ene.-25,Vigente
"Genomma Laboratories México,
S.A. de C.V.",Playa Langosta No. 194,Militar Marte,08830,Iztacalco,D.F.,09008020006,15-jul.-19,"SÓLIDOS: Tabletas o Comprimidos, Cápsulas de gelatina dura; Herbolarios: Tabletas o Comprimidos.",Vigente,Vigente,Ninguna,Sólidos.,233300516A0173,15-feb.-23,22-ago.-23,Vigente
"Glaxosmithkline Consumer Healthcare México, S de R.L. de C.V.",Calle 21 E No. 104,Civac,62578,Jiutepec,Morelos,17011020009,07-dic.-15,LÍQUIDOS: Emulsión; SEMISÓLIDOS: Ungüento.,Vigente,"Suspensión temporal del 29
de agosto de 2022 al 11 de diciembre de 2022","Con fundamento en
el Artículo 202 de la
Ley General de Salud","Líquidos, Semisólidos.",CAS/SELS/12044/2020,23-sep.-20,23-mar.-23,Vencido
"Glaxosmithkline México, S.A. de C.V.",Calz. México Xochimilco No. 4900,San Lorenzo Huipulco,14370,Tlalpan,D.F.,09014020005,25-jun.-14,"SÓLIDOS ORALES: Tabletas, Tabletas masticables, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo para reconstituir; SÓLIDOS ORALES CEFALOSPORÍNICOS: Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo para reconstituir, LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe.",Vigente,Vigente,Ninguna,"Sólidos orales, Sólidos orales Cefalosporínicos, Líquidos orales.",203300EL530911,01-jul.-20,01-ene.-23,Vencido
"Goga Farmacéutica, S.A. de C.V.",Guadalajara No. 1005,Mitras Sur,64020,Monterrey,Nuevo León,19039020002,01-nov.-01,"LÍQUIDOS NO ORALES: Solución, Loción;
SEMISÓLIDOS: Crema, Pomada.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Grifols México, S.A. de C.V.",Eugenio Cuzin No. 909,Parque Industrial Belenes Norte,45150,Zapopan,Jalisco,14120020001,20-mar.-00,"SÓLIDOS ORALES:Tabletas; LÍQUIDOS ORALES:
Suspensión, Jarabe.",Revocada,Suspensión definitiva el 11 de agosto de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Grimann, S.A. de C.V.",Circuito Nemesio Diez Riega No. 11,Parque Industrial el Cerrillo II,52000,Lerma,México,15051020004,05-ene.-22,"SÓLIDOS: Tabletas o Comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo; LÍQUIDOS: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Crema, Gel, Jalea, Pomada; ungüento; SÓLIDOS BETALACTÁMICOS: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir; LÍQUIDOS HERBOLARIOS:  Solución; SEMISÓLIDOS
HERBOLARIOS: Crema, Pomada; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en Frasco Ampula, Solución Inyectable en Jeringa liofilizado para solución inyectable en frasco ámpula. Manejo de Psicotropicos fracción II y III.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos, Sólidos Betalactámicos, Líquidos Herbolarios, Semisólidos Herbolarios, Estériles",COFEPRIS-CAS-SELS-4662- 2022,19-abr.-22,19-oct.-24,Vigente
"Grisi Hnos, S.A. de C.V.",Amores No. 1746,Del Valle,03100,Benito Juárez,D.F.,09003020005,19-oct.-18,"SÓLIDOS: Tabletas o Comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura, Granulado; LÍQUIDOS: Solución, Suspensión, Jarabe, Loción; SEMISÓLIDOS: Crema, Pomada.",Vigente,Vigente,Ninguna,"Sólidos,  Líquidos, Semisólidos.",213300CI110107,24-may.-21,20-jul.-23,Vigente
"Grupo Carbel, S.A. de C.V.",Periférico Poniente No. 7366,Ciudad Granja,45010,Zapopan,Jalisco,14120020015,18-nov.-11,"SÓLIDOS ORALES: Tabletas, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas; SEMISÓLIDOS: Crema, Gel, Pomada; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en  frasco ámpula ESTÉRILES CEFALOSPORÍNICOS: Polvo para solución inyectable en frasco ámpula.",Vigente,Suspensión temporal desde 01 de junio 2021 al 01 de junio de 2023,Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos orales, Semisólidos, Estériles; Estériles - Cerfalosporínicos .",CAS/3/OR/6514/2015,08-sep.-15,28-dic.-17,Vencido
"Grupo Carbel, S.A. de C.V.","Camino a Penwalt Km 22.5, No. 164, Int. 1",El Salto,45680,El Salto,Jalisco,14070020002,23-jun.-20,"Sólidos: Tabletas o Comprimidos, Tabletas Recubiertas, Cápsulas de Gelatina Dura, Polvo. Semisólidos: Crema, Gel y Ungüento.",Vigente,Vigente,Ninguna,"Sólidos: Tabletas o Comprimidos,
Tabletas Recubiertas, Cápsulas de Gelatina Dura, Polvo. Semisólidos: Crema, Gel y Ungüento.",COFEPRIS-CAS-SELS-850- 2022,13-ene.-22,13-jul.-24,Vigente
"Grupo Gesber, S.A. de C.V.","Camino a Santa Clara No.
149, Int. 8",Emiliano Zapata,72470,Puebla,Puebla,21114020006,22-ago.-19,"LÍQUIDOS: Solución, Jarabe, Suspensión.",Vigente,Vigente,Ninguna,Líquidos,233300CT110028,28-feb.-23,05-ago.-23,Vigente
"Grupo Laboratorios Imperiales Pharma, S.A. de C.V.",Calle 13-E No. 606,Civac,62500,Jiutepec,Morelos,17011020002,19-sep.-17,SÓLIDOS: Polvo para reconstituir.,Vigente,Suspensión temporal del 17 de mayo de 2019 al 16 de mayo de 2022,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Grupo Medifarma, S.A. de C.V.",Matamoros No. 9,Centro,62550,Jiutepec,Morelos,17011020004,20-jun.-22,"SÓLIDOS: Tabletas o comprimidos, Cápsulas de Gelatina dura, Polvo.",Vigente,Vigente,Ninguna,Sólidos.,COFEPRIS-CAS-SELS-5711- 2023,02-feb.-23,02-ago.-25,Vigente
"Heptapharma, S.A. de c.v.","Calle 5 de Mayo No. 307, Int. B",Reforma,52100,San Mateo Atenco,México,15076020002,10-feb.-22,"Sólidos: Polvo, Capsulas de gelatina dura, Liquidos: Jarabe, Solución, Suspensión y Emulsión, Estériles: Solución inyectable en ampolleta, Suspensión inyectable en ampolleta, Solución inyectable en frasco ampula, Solución inhalable en frasco ampula, Solución inhalable en ampolleta, Suspensión inyectable en ampolleta, Suspensión inyectable en frasco ámpula, Suspensión nasal en ampolleta, Loifilizado para solución inyectable en frasco ámpula; Emulsión inyectable en ampolleta, Emulsión inyectable en frasco ampula.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Estériles.","223300EL530709,
223300EL530229,
213300EL532528,
213300EL531636",24-nov.-22,24-may.-25,Vigente
"Importadora y Manufacturera Bruluart, S.A.",Geranios No. 9,San Francisco Chilpan,54940,Tultitlan,Edo. de México,15109020002,12-ago.-21,"SÓLIDOS:Tabletas o  Comprimidos, Cápsulas de gelatina dura,  LÍQUIDOS: Solución, Suspensión, Elixir, Jarabe; ESTÉRILES: Solución inyectable en ampolleta, Suspensión inyectable en ampolleta, Suspensión inyectable en frasco ámpula, Solución inyectable en frasco ampula, Polvo para suspensión inyectable en frasco ampula, polvo para solución inyectable en frasco ámpula,   ESTÉRILES HORMONALES:  Solución inyectable en ampolleta, Suspensión inyectable en ampolleta, Suspensión inyectable en frasco ámpula, Solución inyectable en ampolleta, Solución inyectable frasco ámpula.",Vigente,Suspensión temporal de Estériles Hormonales del 19 de abril de 2023 al 19 de octubre de 2023,Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos orales, Líquidos orales, Estériles, Estériles Hormonales.",223300CI110206,19-sep.-22,08-ene.-25,Vigente
